chrom1,start1,end1,chrom2,start2,end2,pet_count,label
1,16703469,16705122,1,167759154,167768416,0,0
4,167750397,167751897,4,36589145,36592667,0,0
16,65413052,65414860,16,2922014,2925241,0,0
4,15495905,15504980,4,15804188,15808412,4,1
16,15433351,15437452,16,15438022,15440637,4,1
7,355955,358239,7,20309114,20310614,0,0
8,124073515,124076494,8,124077694,124079194,3,1
19,28741729,28743229,19,37718096,37721376,0,0
20,13839635,13841821,20,14054671,14058582,4,1
8,144876177,144882790,8,144892542,144894042,5,1
14,67113791,67115291,14,36927793,36929293,0,0
5,62560587,62563225,5,92888028,92891267,0,0
13,46837883,46839383,13,48664692,48666192,0,0
9,75382073,75385476,9,7175996,7177496,0,0
2,66259308,66260876,2,103554843,103557894,0,0
20,40669749,40673996,20,40680369,40685776,6,1
5,74327994,74329494,5,126532711,126534211,0,0
17,64156172,64157672,17,943686,949158,0,0
11,115182639,115185550,11,41679642,41683566,0,0
20,21003866,21005366,20,50158215,50161147,0,0
2,176361079,176363096,2,33790070,33791570,0,0
8,121943800,121947396,8,23385744,23388216,0,0
9,123141299,123148169,9,123352693,123356226,4,1
3,64221442,64222942,3,64223417,64226150,6,1
4,8545517,8550363,4,7451784,7453284,0,0
11,43816825,43818325,11,43818646,43822070,3,1
7,100893034,100899924,7,101188819,101190823,3,1
13,114209693,114211490,13,60208750,60210250,0,0
18,1321887,1325806,18,1457031,1460085,3,1
5,139992369,139997404,5,52231438,52233326,0,0
11,72809845,72811487,11,72827273,72834752,3,1
X,69885439,69887913,X,35819967,35821467,0,0
16,67318687,67322608,16,67376039,67383242,5,1
4,39058688,39061492,4,39068576,39070845,3,1
9,133564188,133565688,9,133569262,133575944,3,1
6,23740414,23744780,6,23761400,23767215,5,1
6,130308380,130309880,6,130320243,130324025,4,1
18,60794554,60798474,18,60807416,60811238,3,1
4,150727965,150730007,4,150757812,150761223,4,1
X,40592447,40596847,X,40598847,40607879,14,1
3,104663042,104665368,3,171326529,171328953,0,0
13,71872789,71875497,13,71878492,71882782,3,1
5,6985727,6988446,5,53429853,53432117,0,0
13,99239973,99241473,13,76402881,76404381,0,0
9,130620669,130622227,9,130623799,130628506,3,1
22,18990125,18993127,22,19011672,19013172,3,1
11,70103330,70104830,11,16283876,16285376,0,0
1,50247082,50251116,1,194470470,194474868,0,0
9,32750327,32751827,9,20348490,20349990,0,0
2,57105157,57107228,2,233230323,233233362,0,0
18,13278571,13284631,18,13289529,13293413,8,1
13,100343033,100347985,13,100540082,100544661,3,1
14,62084117,62092385,14,62097291,62101727,9,1
21,25542273,25544331,21,25544597,25547287,4,1
17,63971525,63973332,17,48741261,48743433,0,0
4,145202995,145213385,4,145536023,145539849,4,1
X,55117190,55120070,X,55122493,55124723,4,1
6,82397027,82398527,6,97842050,97843550,0,0
7,51710379,51711879,7,15297299,15298799,0,0
6,160167832,160172883,6,160372339,160377255,3,1
12,68489211,68496675,12,18525722,18531426,0,0
20,63182412,63186404,20,63332527,63335784,3,1
4,40871860,40873935,4,174015453,174016953,0,0
17,45831610,45833917,17,45838533,45842632,5,1
8,126784498,126789037,8,121742212,121747197,0,0
9,68416596,68421936,9,68443283,68447710,6,1
20,16246858,16249364,20,16254632,16257781,4,1
19,44812595,44815915,19,44822450,44826575,8,1
8,142545379,142551606,8,42929987,42931487,0,0
16,66708132,66712572,16,66766919,66768419,3,1
6,18487276,18488776,6,128454585,128458582,0,0
6,105076939,105081953,6,105096877,105098377,3,1
8,38175127,38178145,8,980486,982411,0,0
4,121043474,121048450,4,121049849,121052871,5,1
17,38375362,38376862,17,83075478,83078864,0,0
4,11274112,11278439,4,108373674,108375174,0,0
3,157954862,157958865,3,187916533,187918760,0,0
9,121445441,121449103,9,71539947,71545649,0,0
11,124730017,124731517,11,37207509,37209009,0,0
2,209532996,209534496,2,51603254,51606638,0,0
21,30593361,30597225,21,30600438,30602178,4,1
16,67643792,67646711,16,892336,893836,0,0
X,130718168,130719989,X,130720819,130725605,4,1
13,97002493,97008785,13,97020266,97021770,4,1
17,65340926,65345368,17,65361949,65367853,3,1
16,35562891,35568117,16,26655585,26658068,0,0
13,96914988,96916488,13,96917484,96919895,3,1
1,115250967,115253567,1,196067520,196072973,0,0
12,4096796,4102478,12,4281751,4290757,3,1
X,17350744,17354846,X,17359199,17363926,3,1
3,150718784,150723273,3,150821677,150833315,4,1
22,23479476,23482258,22,26105590,26111668,0,0
17,74656330,74663866,17,74702477,74705953,4,1
19,41589024,41591356,19,41641066,41643821,4,1
2,182612936,182614436,2,3765844,3767344,0,0
11,65141743,65145526,11,65314791,65317134,3,1
17,66521843,66523343,17,56149218,56151263,0,0
14,28810242,28813563,14,57965261,57966761,0,0
7,22115455,22118299,7,22272128,22278732,3,1
17,69980455,69981955,17,70041228,70044726,3,1
17,75444784,75446284,17,75490691,75496758,3,1
18,56477117,56481550,18,56503199,56507052,4,1
8,141146236,141148875,8,141167612,141171196,4,1
2,94870490,94874432,2,94884597,94886885,4,1
4,13226794,13230059,4,163181295,163185129,0,0
18,62472300,62477841,18,62502822,62506916,4,1
6,3187773,3190865,6,3194554,3196794,3,1
21,28965650,28969189,21,19326045,19327545,0,0
5,170039798,170043089,5,57088245,57090306,0,0
4,127809971,127811471,4,127819513,127828112,4,1
21,14950712,14952212,21,19882467,19883967,0,0
14,81204249,81206462,14,81209094,81212076,3,1
13,52910779,52912279,13,61936615,61938115,0,0
20,10937084,10943374,20,10963285,10966665,3,1
19,43553585,43556815,19,43651693,43655062,3,1
9,37136177,37137677,9,111442116,111445882,0,0
6,138130132,138133263,6,138133896,138137438,3,1
13,86693238,86694738,13,27714563,27717148,0,0
19,13981522,13986291,19,50072761,50074261,0,0
19,53416479,53419642,19,43781987,43783487,0,0
1,156008584,156012125,1,156013078,156015707,7,1
16,26557367,26562170,16,26563155,26567191,8,1
17,45183342,45185671,17,61587082,61589044,0,0
4,12553101,12558454,4,12560155,12561655,3,1
22,49138286,49139786,22,23692434,23693934,0,0
17,52327313,52329200,17,55366565,55368680,0,0
16,85187118,85191087,16,64188712,64190212,0,0
13,40665817,40670511,13,40702829,40706362,3,1
4,41454016,41455826,4,175396157,175399746,0,0
9,38350209,38353584,9,38373205,38377898,3,1
5,88879118,88882362,5,38334777,38336308,0,0
5,138120053,138124575,5,138132623,138135297,6,1
6,19122521,19124021,6,143485454,143489500,0,0
11,32398796,32411796,11,32452996,32457644,5,1
22,43752594,43760377,22,44929551,44937142,0,0
1,110638755,110644710,1,110696640,110700726,3,1
18,52848728,52852621,18,1984355,1985855,0,0
6,41600486,41605267,6,41668738,41673095,5,1
3,173675110,173679400,3,173682746,173684366,3,1
8,66156206,66158710,8,66170874,66172431,3,1
18,34881012,34882858,18,34890122,34892823,3,1
9,80243476,80244976,9,77036811,77038311,0,0
14,60004886,60006386,14,102632511,102634011,0,0
18,36772020,36773520,18,65456286,65460765,0,0
14,91335664,91339139,14,91351538,91355574,3,1
11,67039507,67046526,11,106723632,106726765,0,0
19,10281529,10286629,19,10379368,10386097,4,1
20,16712513,16714302,20,11189872,11191372,0,0
2,85544638,85547141,2,196415860,196417813,0,0
21,40373975,40376267,21,26708820,26711326,0,0
3,90035723,90041415,3,178366073,178367573,0,0
13,105764965,105766465,13,69717770,69719270,0,0
6,14263347,14266087,6,14362264,14367205,4,1
3,65794569,65796069,3,28227035,28229011,0,0
18,25137764,25140834,18,45092364,45093864,0,0
3,43883826,43885326,3,32558449,32567046,0,0
3,108933547,108936839,3,108937536,108939510,3,1
5,137314992,137318069,5,137498517,137503206,3,1
4,173239259,173243891,4,140674777,140679743,0,0
11,61079399,61084047,11,61157151,61163324,3,1
1,116218942,116220931,1,116230272,116235273,3,1
20,31822139,31824889,20,50474251,50475751,0,0
5,16434409,16435909,5,105467482,105468982,0,0
1,202824307,202826965,1,226786389,226788572,0,0
13,42612670,42616992,13,42618294,42621230,3,1
19,58228378,58230442,19,7668591,7670145,0,0
2,220184089,220185589,2,4414466,4417325,0,0
1,151144201,151148706,1,101510461,101515242,0,0
7,81001747,81006495,7,14210217,14211717,0,0
5,83948592,83955536,5,83987432,83994008,4,1
12,102887877,102891141,12,103545087,103546587,3,1
3,9580799,9582309,3,66521811,66524734,0,0
20,32011761,32013301,20,32017196,32020366,6,1
X,5144863,5146706,X,82774636,82776785,0,0
22,42571907,42573407,22,39158623,39160123,0,0
7,52088350,52092258,7,17044834,17046718,0,0
18,2800918,2802418,18,47977700,47979494,0,0
7,73677478,73679591,7,73698013,73705134,5,1
7,27674330,27682731,7,100494295,100495795,0,0
5,151140965,151142465,5,146360528,146362028,0,0
22,20623870,20632586,22,20674117,20679046,4,1
18,9945033,9947495,18,50626894,50629448,0,0
6,106564933,106569239,6,32634494,32637009,0,0
6,53103709,53106885,6,46721401,46726313,0,0
20,46003620,46011283,20,46013690,46017955,31,1
21,29107538,29109980,21,29163473,29167112,4,1
1,25471433,25479270,1,25555154,25559631,4,1
2,204345022,204353942,2,204372382,204379167,3,1
18,70241361,70245184,18,61432446,61436042,0,0
7,124758055,124759555,7,146110934,146112434,0,0
22,30621171,30622671,22,41570273,41571773,0,0
16,50978045,50983292,16,75771399,75772899,0,0
17,1781908,1787497,17,2035602,2041014,3,1
22,45327762,45329262,22,48484782,48486282,0,0
14,55970715,55972215,14,55984118,55988739,4,1
6,153235509,153239196,6,153266787,153270019,3,1
9,92287571,92289071,9,92292979,92296952,3,1
22,19499350,19507565,22,19631927,19634611,9,1
8,93654253,93655753,8,53602728,53604787,0,0
3,25895974,25901082,3,25917088,25921038,4,1
20,40014934,40017230,20,40024688,40026188,3,1
12,89548281,89553637,12,127906361,127907861,0,0
8,55865345,55869753,8,56059551,56061253,3,1
1,91113084,91115777,1,98381936,98383436,0,0
9,119226006,119227764,9,70487455,70488955,0,0
5,7523170,7526692,5,7534068,7538794,5,1
17,53408130,53409630,17,76176449,76177949,0,0
5,51847034,51848534,5,150028135,150032608,0,0
1,182326638,182329549,1,182337267,182339017,3,1
13,45254804,45256304,13,45368607,45372063,3,1
11,17319196,17320696,11,68146929,68148469,0,0
16,31391005,31392505,16,83679473,83681719,0,0
19,18450345,18453320,19,18581296,18582796,3,1
22,43606768,43610644,22,30443075,30444575,0,0
12,126882503,126884003,12,104797288,104798788,0,0
9,136940923,136948395,9,136957896,136964222,19,1
18,48035138,48036638,18,48045080,48051758,7,1
21,28564830,28566330,21,17196279,17197779,0,0
5,73908725,73911302,5,73953888,73957931,3,1
9,115962493,115964539,9,12597622,12600606,0,0
X,41435013,41437292,X,7719694,7721456,0,0
22,18916812,18918312,22,18923932,18925433,3,1
19,19139017,19141914,19,35700152,35701652,0,0
12,21996644,22000286,12,22009253,22013608,3,1
9,102678985,102681947,9,20326675,20328175,0,0
14,93267258,93268758,14,52919968,52924968,0,0
1,27542225,27546892,1,27814539,27819892,3,1
22,40098770,40100270,22,40352185,40353685,0,0
14,61435718,61437896,14,99209907,99212759,0,0
3,35351379,35355133,3,35412518,35417025,5,1
8,133009810,133013991,8,133026486,133033869,7,1
12,89287985,89292661,12,106604770,106607760,0,0
11,133599042,133603123,11,19515546,19517046,0,0
17,55930681,55936532,17,57469039,57470889,0,0
2,170746950,170751888,2,170784389,170787942,3,1
9,33790554,33795245,9,117502527,117505261,0,0
7,135952771,135960592,7,135981141,135984269,5,1
3,65932651,65934151,3,154342330,154343830,0,0
11,31718350,31722670,11,31910308,31915553,4,1
11,18030933,18032433,11,134551582,134553082,0,0
4,26632435,26635515,4,149619165,149620665,0,0
5,140355475,140362303,5,140371884,140374530,4,1
6,77207401,77208901,6,103281941,103283441,0,0
16,4213908,4217471,16,62984404,62987212,0,0
7,107316782,107319429,7,110585600,110589233,0,0
1,119470529,119477188,1,119682544,119689780,3,1
14,40108864,40110364,14,96969302,96970802,0,0
11,58976889,58980010,11,58997903,59001982,4,1
4,141492329,141497446,4,141509894,141515980,7,1
21,32787270,32788770,21,25564307,25567691,0,0
18,31390666,31393599,18,11197728,11199228,0,0
16,83305123,83306623,16,83323074,83325776,3,1
1,206491538,206493710,1,30147567,30151666,0,0
2,224385148,224387784,2,27695965,27697975,0,0
18,52224026,52229628,18,2188687,2190187,0,0
21,32250138,32253694,21,32255992,32262918,5,1
16,65651591,65653495,16,79866282,79868322,0,0
7,45469910,45473158,7,45490328,45493694,3,1
18,43136816,43139982,18,26738592,26743715,0,0
16,2333757,2340450,16,2367498,2372495,3,1
12,77781196,77786085,12,77836666,77844917,4,1
21,35021068,35025632,21,35837855,35841995,3,1
8,135486704,135490994,8,135493989,135499737,3,1
7,130359172,130363388,7,130694581,130697101,4,1
14,22154681,22159281,14,83272432,83273932,0,0
6,158298368,158299868,6,113568622,113570996,0,0
X,111539376,111543606,X,111565848,111569307,6,1
12,119778114,119781955,12,119809038,119811864,4,1
8,139034177,139039501,8,139068723,139074137,3,1
20,6828275,6829775,20,57881827,57884464,0,0
3,112978350,112982960,3,112986134,112990627,3,1
21,29104466,29107218,21,29149654,29152763,3,1
5,139042378,139047133,5,139063788,139071796,4,1
22,40504973,40508357,22,17474855,17477258,0,0
1,204795095,204796595,1,204806262,204809218,5,1
22,28692050,28694761,22,22161699,22163199,0,0
17,76400005,76411713,17,76512406,76516442,6,1
11,118970576,118976845,11,130461112,130462612,0,0
7,87974666,87977515,7,87995014,87998470,3,1
2,178358631,178365222,2,178381640,178385343,4,1
16,56166070,56168631,16,83623742,83625507,0,0
9,2434280,2435780,9,101625346,101631141,0,0
8,19265525,19268927,8,19269715,19271215,6,1
13,81486628,81488263,13,81493965,81496677,3,1
14,106232304,106239220,14,106265855,106270064,8,1
6,131617840,131624724,6,131627393,131629553,8,1
6,151896401,151897901,6,26379876,26381376,0,0
8,9055224,9059302,8,9094120,9097690,3,1
14,23722870,23726320,14,51719907,51721407,0,0
3,58447853,58449353,3,128577031,128578531,0,0
21,45214717,45216217,21,45272896,45275886,3,1
7,64638156,64639656,7,29042050,29043913,0,0
13,62283026,62285941,13,49736059,49739255,0,0
13,78275172,78282265,13,78294990,78299493,3,1
22,23110331,23113971,22,23128041,23129990,3,1
9,89274415,89277980,9,89278389,89280403,6,1
9,37420075,37421575,9,6590199,6594249,0,0
22,28997048,28999527,22,29017287,29020410,4,1
16,58427742,58432690,16,58460246,58461746,3,1
11,80954778,80958222,11,6417784,6419284,0,0
1,230381879,230385898,1,230562531,230566216,4,1
6,21739253,21742031,6,16267211,16268711,0,0
4,183518816,183521653,4,22641598,22645857,0,0
X,15310927,15312814,X,104462310,104465310,0,0
19,53175716,53177216,19,21198189,21201828,0,0
21,18324340,18328350,21,30305296,30307593,0,0
14,104967712,104975392,14,105055174,105056674,3,1
5,109295846,109298026,5,109325009,109328577,3,1
7,130661945,130664225,7,131861465,131862965,0,0
19,47617068,47620704,19,47626787,47628958,3,1
8,18505530,18509403,8,18512763,18516675,3,1
9,137820000,137822503,9,73199248,73201940,0,0
1,171384177,171387664,1,171395970,171397470,3,1
2,202275982,202280965,2,174640796,174646485,0,0
8,26576250,26581164,8,24302740,24305255,0,0
6,53633603,53636742,6,53637776,53639276,3,1
8,13360395,13361895,8,16768385,16770766,0,0
11,21472431,21475760,11,16081904,16083999,0,0
7,101399053,101402695,7,101456948,101460985,3,1
17,39763815,39768131,17,39768433,39769933,4,1
4,117105169,117107282,4,37240066,37243711,0,0
14,85457262,85458762,14,34400721,34402221,0,0
14,83117658,83120064,14,85250285,85254114,0,0
3,10056318,10057818,3,10058481,10061299,3,1
1,46129169,46133658,1,173484731,173486231,0,0
X,104082219,104087500,X,104106267,104111153,5,1
3,129919098,129922079,3,129925121,129933387,6,1
9,90935668,90937168,9,2168992,2173748,0,0
7,41120561,41123174,7,150571979,150574228,0,0
3,192309489,192310989,3,169011379,169013344,0,0
7,143037890,143042553,7,143064640,143066140,3,1
22,43065925,43067425,22,43093105,43097672,3,1
8,140230113,140233100,8,140233406,140236472,3,1
13,45543281,45545063,13,45549206,45553050,3,1
17,54324465,54326485,17,11551413,11554448,0,0
18,70631795,70633295,18,5777465,5778965,0,0
21,34938869,34941591,21,34952973,34954920,3,1
6,132605699,132607455,6,111609555,111611779,0,0
3,10474814,10477483,3,15724735,15726235,0,0
11,10135615,10137983,11,78683623,78687035,0,0
18,35831386,35835692,18,13052609,13055112,0,0
16,28623508,28625008,16,58276178,58277678,0,0
9,101739406,101744086,9,104211090,104215571,0,0
22,25538723,25540891,22,25545069,25549953,4,1
18,22134620,22139408,18,42940312,42942808,0,0
3,13654320,13659188,3,13664212,13671319,6,1
1,27491265,27497695,1,27498617,27500117,4,1
9,103672662,103675222,9,129290729,129292229,0,0
11,16171774,16173274,11,39416362,39419484,0,0
14,106326624,106331304,14,106341973,106343946,3,1
X,24241096,24245491,X,24264356,24266930,4,1
8,135384758,135386258,8,23736080,23737580,0,0
13,29899082,29900582,13,109025340,109028170,0,0
17,38348617,38350201,17,67332717,67335836,0,0
22,23633732,23636444,22,23838591,23843804,3,1
12,124958041,124962091,12,124992269,124993769,3,1
8,65654620,65658430,8,32295689,32298417,0,0
19,45499877,45502071,19,45556365,45561114,3,1
3,137535236,137540398,3,141643457,141645882,0,0
5,138925761,138928056,5,138935305,138941372,3,1
9,32414069,32416688,9,32485264,32495772,4,1
22,43930785,43933953,22,28828752,28831645,0,0
21,32510568,32513551,21,32411298,32418220,0,0
X,120107539,120111249,X,9746741,9748241,0,0
12,99344492,99348159,12,112330992,112334718,0,0
6,98737662,98743326,6,98751239,98753884,5,1
16,65117186,65121072,16,65123041,65124914,3,1
19,37781137,37782637,19,35503436,35504953,0,0
12,127281864,127284005,12,30235284,30236784,0,0
18,23261159,23266483,18,23353337,23361320,4,1
20,8081055,8083242,20,32082783,32084371,0,0
5,35830933,35833711,5,35924186,35927442,3,1
22,42179268,42183324,22,42200239,42203361,3,1
14,28922294,28927229,14,28979424,28983053,3,1
20,46519117,46526113,20,46527266,46530308,7,1
8,12838496,12843648,8,60688948,60690448,0,0
8,140396246,140397746,8,80929897,80931397,0,0
11,45880874,45885547,11,92017273,92018773,0,0
5,99070350,99072799,5,179457076,179458576,0,0
18,64123153,64126917,18,64142330,64143853,3,1
4,184842811,184847838,4,184871936,184873933,3,1
6,111575086,111576586,6,28574822,28576322,0,0
11,43318985,43323509,11,43324321,43327322,5,1
11,19937585,19939833,11,19952290,19955104,5,1
16,66951243,66955568,16,67159029,67162531,3,1
21,20999337,21002649,21,21129047,21131916,3,1
12,54020446,54038222,12,54179473,54182090,7,1
4,166408668,166411992,4,134290998,134295280,0,0
11,43685393,43689160,11,43751257,43752757,3,1
5,148162737,148165255,5,148177117,148180127,5,1
5,134093314,134102389,5,134110799,134114819,8,1
2,234741242,234742742,2,234771980,234776658,3,1
20,51780604,51782453,20,51950061,51957793,3,1
6,6703505,6711763,6,7251341,7254465,3,1
20,56476164,56479508,20,56549935,56552309,3,1
8,32963491,32964991,8,69720417,69722798,0,0
16,20065689,20073210,16,20113224,20118299,3,1
19,12776793,12780513,19,12795276,12798559,6,1
6,120978691,120980191,6,88550931,88552557,0,0
6,33390154,33393943,6,33404700,33410862,5,1
19,3854815,3857081,19,19139017,19141914,0,0
7,637756,639560,7,156183547,156186390,0,0
4,148410825,148412325,4,1783608,1791907,0,0
13,19987638,19993171,13,20090037,20092484,3,1
3,125988077,125991139,3,126004273,126006875,3,1
20,40231222,40232722,20,40265427,40267068,5,1
3,20935798,20937298,3,114805069,114809140,0,0
16,89835566,89840700,16,4856102,4857602,0,0
21,36033455,36037807,21,36039434,36045564,6,1
13,98721115,98726653,13,98750972,98753797,3,1
14,51707007,51708507,14,82898292,82899792,0,0
2,17262063,17265868,2,17306808,17310585,5,1
16,76873047,76874547,16,77131913,77137874,3,1
9,117806721,117814703,9,117825166,117830114,4,1
6,96711165,96712665,6,72341013,72343775,0,0
22,21670019,21677038,22,47769090,47770950,0,0
17,48710278,48714647,17,48718494,48721528,7,1
14,39280731,39283892,14,52390340,52393036,0,0
4,169222556,169224056,4,114094431,114097294,0,0
21,30372675,30375304,21,23130702,23132202,0,0
16,83987331,83991386,16,83996039,83998595,5,1
1,201050447,201054137,1,201091513,201094614,3,1
14,104223808,104229183,14,104237116,104238616,4,1
17,1994920,1999884,17,48846622,48850363,0,0
2,204392556,204398778,2,204400598,204406347,6,1
